date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
20/07/2015,NA,Makhanda Botanic Gardens,1,NA,-33.31848,26.52207,1.98,1.12,1.9,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,2,NA,-33.31848,26.52203,0.4,0.5,1.2,0.005,0.007,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,3,NA,-33.31848,26.52203,1.4,1.2,2.53,0.025,0.02,NA,Y,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,4,NA,-33.31849,26.52201,0.63,0.7,1.6,0.025,0.03,NA,Y,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,5,NA,-33.31851,26.52205,0.6,0.58,1.54,0.01,0.01,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,6,NA,-33.31849,26.52194,1.08,1.9,2,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,7,NA,-33.31849,26.522,1.23,1.5,2,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,8,NA,-33.31847,26.52204,0.8,1,1.28,0.01,0.01,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,9,NA,-33.31849,26.522,0.71,0.79,1.23,0.005,0.005,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,10,NA,-33.31853,26.522,0.39,0.43,1.08,0.01,0.01,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,11,NA,-33.31846,26.52203,2.2,1.9,5.9,0.04,0.06,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,12,NA,-33.31844,26.52208,1.2,2.7,2.7,0.02,0.02,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,13,NA,-33.31851,26.52211,1.1,2.3,1.7,0.02,0.02,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,14,NA,-33.31844,26.52213,1,1.8,2.8,0.02,0.02,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,15,NA,-33.31845,26.52211,1.2,1.08,1.7,0.03,0.03,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,16,NA,-33.31854,26.52205,0.71,1,1.1,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,17,NA,-33.31855,26.52205,1.2,1.8,1.3,0.03,0.03,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,18,NA,-33.31855,26.52205,1.38,1.4,2.5,0.02,0.02,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,19,NA,-33.31857,26.52209,0.38,0.4,1.05,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,20,NA,-33.31857,26.52209,1.1,0.7,2.1,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,21,NA,-33.31853,26.52208,0.88,0.14,2.03,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,22,NA,-33.31857,26.52204,0.34,0.68,2.2,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,23,NA,-33.31853,26.52203,0.4,0.63,2.3,0.02,0.02,NA,Y,Y,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,24,NA,-33.31855,26.52204,0.47,1,1.7,0.03,0.03,NA,Y,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,25,NA,-33.31859,26.52212,1,1.41,2.7,0.02,0.02,NA,Y,N,N,N,Y,NA,NA,pulled
20/07/2015,NA,Makhanda Botanic Gardens,26,NA,-33.31857,26.52211,2.7,0.9,4.43,0.02,0.02,NA,N,N,N,N,Y,NA,NA,pulled
