date,time,location,wp,gps,lat,lon,cw1,cw2,ht,bd1,bd2,buds,flowers,pods,seeds,resprout,rhizobia,disturbed,bipinnate,notes
09/02/2012,NA,Tokai,1,NA,-34.059562,18.415027,0.07,0.058,0.22,0.002,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,2,NA,-34.059576,18.415,0.085,0.08,0.03,0.003,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,3,NA,-34.059575,18.414998,0.08,0.08,0.65,0.009,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,4,NA,-34.059588,18.414972,0.12,0.07,0.81,0.003,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,5,NA,-34.059584,18.414963,0.16,0.12,0.53,0.004,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,6,NA,-34.059585,18.414962,0.14,0.15,0.94,0.005,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,7,NA,-34.059588,18.414959,0.18,0.12,0.42,0.004,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,8,NA,-34.059576,18.414964,0.16,0.19,0.56,0.005,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,9,NA,-34.059573,18.414964,0.045,0.05,0.28,0.003,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,10,NA,-34.059578,18.414959,0.09,0.1,0.49,0.004,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,11,NA,-34.059577,18.414961,0.18,0.13,0.63,0.006,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,12,NA,-34.059577,18.414959,0.15,0.14,0.35,0.004,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,13,NA,-34.059579,18.414958,0.15,0.15,0.72,0.006,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,14,NA,-34.059579,18.414957,0.24,0.19,0.84,0.005,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,15,NA,-34.059579,18.414956,0.14,0.2,0.84,0.005,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
09/02/2012,NA,Tokai,16,NA,-34.059577,18.414955,0.21,0.22,0.54,0.004,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,17,NA,-34.059576,18.414956,0.11,0.13,0.305,0.002,NA,NA,NA,NA,NA,NA,Y,NA,N,Pulled
09/02/2012,NA,Tokai,18,NA,-34.059578,18.414959,0.28,0.14,0.47,0.003,NA,NA,NA,NA,NA,NA,N,NA,N,Pulled
